label,version,details,uid,appid,is_archived,current_version,latest_version,release_published_time,latest_version_compatibility,current_version_compatibility,latest_version_installed,is_current_version_compatible_9,download_link
Alert Manager,3.0.7,https://apps.splunk.com/apps/id/alert_manager,2665,alert_manager,False,3.0.7,3.0.11,2022-04-26T19:19:53+00:00,"['9.0', '8.2', '8.1']","['9.0', '8.2', '8.1', '8.0']",False,False,"https://splunkbase.splunk.com/api/v1/app/2665/?order=latest&include=support,created_by,categories,icon,screenshots,rating,releases,documentation,releases.content,releases.splunk_compatibility,releases.cim_compatibility,releases.install_method_single,releases.install_method_distributed,release,release.content,release.cim_compatibility,release.install_method_single,release.install_method_distributed,release.splunk_compatibility"
Analysis of SplunkBase Apps,5.4.3,https://apps.splunk.com/apps/id/analysis_of_splunkbase_apps,2919,analysis_of_splunkbase_apps,False,5.4.3,5.4.3,2022-06-29T22:21:12+00:00,"['9.2', '9.1', '9.0', '8.2', '8.1.2008', '8.1', '8.0', '7.3', '7.2', '7.1', '7.0']","['9.2', '9.1', '9.0', '8.2', '8.1.2008', '8.1', '8.0', '7.3', '7.2', '7.1', '7.0']",True,True,"https://splunkbase.splunk.com/api/v1/app/2919/?order=latest&include=support,created_by,categories,icon,screenshots,rating,releases,documentation,releases.content,releases.splunk_compatibility,releases.cim_compatibility,releases.install_method_single,releases.install_method_distributed,release,release.content,release.cim_compatibility,release.install_method_single,release.install_method_distributed,release.splunk_compatibility"
Custom Visualization - donut,1.0.3,https://apps.splunk.com/apps/id/aplura_viz_donut,3150,aplura_viz_donut,True,1.0.3,1.0.3,2018-04-02T20:49:10+00:00,"['7.0', '6.6', '6.5', '6.4']","['7.0', '6.6', '6.5', '6.4']",True,False,"https://splunkbase.splunk.com/api/v1/app/3150/?order=latest&include=support,created_by,categories,icon,screenshots,rating,releases,documentation,releases.content,releases.splunk_compatibility,releases.cim_compatibility,releases.install_method_single,releases.install_method_distributed,release,release.content,release.cim_compatibility,release.install_method_single,release.install_method_distributed,release.splunk_compatibility"
Custom Visualization - markdown,1.0.2,https://apps.splunk.com/apps/id/aplura_viz_markdown,3148,aplura_viz_markdown,False,1.0.2,1.0.4,2023-10-02T17:29:36+00:00,"['9.2', '9.1', '9.0', '8.2']","['7.0', '6.6', '6.5', '6.4']",False,False,"https://splunkbase.splunk.com/api/v1/app/3148/?order=latest&include=support,created_by,categories,icon,screenshots,rating,releases,documentation,releases.content,releases.splunk_compatibility,releases.cim_compatibility,releases.install_method_single,releases.install_method_distributed,release,release.content,release.cim_compatibility,release.install_method_single,release.install_method_distributed,release.splunk_compatibility"
Custom Visualization - scatterplot_matrix,1.1.0,https://apps.splunk.com/apps/id/aplura_viz_scatterplot_matrix,3149,aplura_viz_scatterplot_matrix,True,1.1.0,1.1.0,2017-10-10T21:47:06+00:00,"['9.2', '9.1', '9.0', '8.2', '8.1.2008', '8.1', '8.0', '7.3', '7.2', '7.1']","['9.2', '9.1', '9.0', '8.2', '8.1.2008', '8.1', '8.0', '7.3', '7.2', '7.1']",True,True,"https://splunkbase.splunk.com/api/v1/app/3149/?order=latest&include=support,created_by,categories,icon,screenshots,rating,releases,documentation,releases.content,releases.splunk_compatibility,releases.cim_compatibility,releases.install_method_single,releases.install_method_distributed,release,release.content,release.cim_compatibility,release.install_method_single,release.install_method_distributed,release.splunk_compatibility"
Custom Visualization - tolstoy_target,1.0.0,https://apps.splunk.com/apps/id/aplura_viz_tolstoy_target,3754,aplura_viz_tolstoy_target,False,1.0.0,1.0.1,2024-04-10T17:10:12+00:00,"['9.2', '9.1', '9.0', '8.2', '8.1.2008', '8.1', '8.0', '7.3', '7.2', '7.1', '7.0']","['7.0', '6.6', '6.5']",False,False,"https://splunkbase.splunk.com/api/v1/app/3754/?order=latest&include=support,created_by,categories,icon,screenshots,rating,releases,documentation,releases.content,releases.splunk_compatibility,releases.cim_compatibility,releases.install_method_single,releases.install_method_distributed,release,release.content,release.cim_compatibility,release.install_method_single,release.install_method_distributed,release.splunk_compatibility"
Bullet Graph,1.2.0,https://apps.splunk.com/apps/id/bullet_graph_app,3144,bullet_graph_app,False,1.2.0,1.5.0,2021-07-14T23:38:15+00:00,"['9.2', '9.1', '9.0', '8.2', '8.1', '8.0']",N/A,False,False,"https://splunkbase.splunk.com/api/v1/app/3144/?order=latest&include=support,created_by,categories,icon,screenshots,rating,releases,documentation,releases.content,releases.splunk_compatibility,releases.cim_compatibility,releases.install_method_single,releases.install_method_distributed,release,release.content,release.cim_compatibility,release.install_method_single,release.install_method_distributed,release.splunk_compatibility"
Calendar Heat Map,1.2.0,https://apps.splunk.com/apps/id/calendar_heatmap_app,3162,calendar_heatmap_app,False,1.2.0,1.5.1,2022-12-21T19:26:34+00:00,"['9.2', '9.1', '9.0', '8.2']",N/A,False,False,"https://splunkbase.splunk.com/api/v1/app/3162/?order=latest&include=support,created_by,categories,icon,screenshots,rating,releases,documentation,releases.content,releases.splunk_compatibility,releases.cim_compatibility,releases.install_method_single,releases.install_method_distributed,release,release.content,release.cim_compatibility,release.install_method_single,release.install_method_distributed,release.splunk_compatibility"
Cisco Networks,2.3.2,https://apps.splunk.com/apps/id/cisco_ios,1352,cisco_ios,False,2.3.2,2.7.4,2022-09-20T12:56:42+00:00,"['9.2', '9.1', '9.0', '8.2', '8.1.2008', '8.1', '8.0', '7.3']","['6.5', '6.4', '6.3', '6.2']",False,False,"https://splunkbase.splunk.com/api/v1/app/1352/?order=latest&include=support,created_by,categories,icon,screenshots,rating,releases,documentation,releases.content,releases.splunk_compatibility,releases.cim_compatibility,releases.install_method_single,releases.install_method_distributed,release,release.content,release.cim_compatibility,release.install_method_single,release.install_method_distributed,release.splunk_compatibility"
Config Quest,3.0.1,https://apps.splunk.com/apps/id/config_quest,3696,config_quest,False,3.0.1,3.0.3,2024-04-04T18:40:12+00:00,"['9.2', '9.1', '9.0', '8.2']",N/A,False,False,"https://splunkbase.splunk.com/api/v1/app/3696/?order=latest&include=support,created_by,categories,icon,screenshots,rating,releases,documentation,releases.content,releases.splunk_compatibility,releases.cim_compatibility,releases.install_method_single,releases.install_method_distributed,release,release.content,release.cim_compatibility,release.install_method_single,release.install_method_distributed,release.splunk_compatibility"
